gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
AC002091.1,0.306543913374395,0.817689058185318,4.62300333461145,5.99020094876159e-06,1.32634449388022e-05,2.7316137307713
LZIC,0.28569957050143,4.90162089738441,4.62284463665614,5.99443426118082e-06,1.32717104759271e-05,2.73093572779047
IFT74,0.332722388856036,3.57382642980139,4.62258744966229,6.00130091210041e-06,1.32858043727571e-05,2.72983699333572
AC117490.2,-0.365869640403533,1.28030742625434,-4.62189011739673,6.01995714478041e-06,1.33259937596967e-05,2.72685816444092
AL035706.1,-0.188289980561525,0.263332439227002,-4.62093014091567,6.04573143426781e-06,1.33819319113308e-05,2.72275800734365
UCKL1,0.279226971267682,4.93760460891643,4.62077193534131,6.04998925830549e-06,1.33902390543022e-05,2.72208236444129
CWC15,0.217611702145248,6.10156730416527,4.62060137429493,6.05458284133416e-06,1.3399287873288e-05,2.72135397739554
ZNF518B,0.451429534903835,3.20840041043992,4.62052461382821,6.05665126428915e-06,1.3402747262579e-05,2.72102617650316
RNU6-101P,0.305150445464288,0.417418905312931,4.62018249184805,6.06587851540857e-06,1.34220465048155e-05,2.71956522149752
SLC25A25,0.584119891814897,4.07651745055675,4.61984847002495,6.07490035343516e-06,1.344088804531e-05,2.71813894472331
HAUS8,0.223444322157948,1.9515129421969,4.61915098283015,6.09378095306405e-06,1.34815374112575e-05,2.7151609483116
C2orf81,0.261627323836659,0.937280660731635,4.61873514118262,6.10506442243925e-06,1.35053739362542e-05,2.71338564887286
C8orf37,0.318886383589844,2.27297049393163,4.61861232142676,6.10840086526393e-06,1.35116278645756e-05,2.71286133611263
CEP131,0.273928179567093,3.75591063688062,4.61802020445749,6.12451057686091e-06,1.35461325407999e-05,2.71033377740213
BEND7,0.437802506444668,3.97744344134038,4.61738288554895,6.14189578979615e-06,1.35834523695291e-05,2.70761357253749
MPP3,0.36660005092263,1.89197311572269,4.61713816670497,6.14858400768183e-06,1.35971104116522e-05,2.70656914789895
SH3BGRL,0.342643310774221,7.65275309848755,4.61675039351583,6.15919628770059e-06,1.36194432083649e-05,2.7049142839587
AC078899.3,-0.746362301167315,3.04523524557421,-4.61640562241389,6.16864652289757e-06,1.36392029396e-05,2.70344303488259
CEACAM4,0.300773189116212,0.514326064734525,4.61600073270925,6.17976243791122e-06,1.36626419759987e-05,2.70171535917331
AC145098.1,0.30520827004736,0.732873431189477,4.61580530223366,6.18513471761023e-06,1.36733797415892e-05,2.70088149776636
MAPK15,0.678116349692628,3.26354632043053,4.61561709136078,6.19031278310743e-06,1.3683686407059e-05,2.70007846916407
HEXD,0.405831505685688,4.40201020234658,4.61480241616162,6.21277431718269e-06,1.37321932786924e-05,2.69660286064424
PNISR,0.473847146278833,5.09408990206325,4.61442776123305,6.22313029773125e-06,1.37539372002682e-05,2.69500466321968
LILRB2,0.406244687352577,1.59227225236771,4.61426976310745,6.22750256327407e-06,1.37624538026667e-05,2.69433071009954
ZNF808,0.303940741389884,2.31554602207239,4.61410286278468,6.23212438941821e-06,1.37715204559903e-05,2.69361880519635
FAM32A,0.239370748764728,6.87684346288317,4.61383924045819,6.23943138043211e-06,1.37865186836603e-05,2.69249438188626
EIF4EP2,0.280626410313774,0.994309416076832,4.61326521808787,6.25537046547297e-06,1.38205861208676e-05,2.69004620334139
TRIM24,0.34401257414207,3.69340294563071,4.61293017601237,6.26469180290543e-06,1.38400278807254e-05,2.68861738377901
AL590226.1,-0.28405480730583,1.02041325529644,-4.61268951447603,6.27139559055167e-06,1.38536841634722e-05,2.68759111344807
AF129075.3,0.407883148902962,1.68332568987948,4.61263958633103,6.27278723682292e-06,1.38556044836343e-05,2.68737820694063
SLC25A3P1,0.325600903935514,0.484355570087807,4.61220298425381,6.28496930798157e-06,1.38813568579117e-05,2.68551650605035
AC087286.4,0.126141388707903,0.238544850450226,4.61178935709046,6.29653133413439e-06,1.39057355898134e-05,2.68375290941416
RPL9,0.344001466121568,8.22740748641401,4.61155467499827,6.30310044850231e-06,1.39190844569574e-05,2.68275234670979
RHEX,0.441062972441985,1.06830249136153,4.61050773734146,6.33248628205743e-06,1.39828128792021e-05,2.67828927290025
AC079848.1,-0.427686714636222,2.83146944316019,-4.60979490806351,6.35256963695228e-06,1.4025991525703e-05,2.67525098738781
ZNF233,0.360723233202914,1.66067592637895,4.60954860646554,6.35952321198045e-06,1.40401758402824e-05,2.6742012709032
LINC01571,-0.670352467513343,2.5894588713458,-4.60935016127142,6.36513103512667e-06,1.40513869705201e-05,2.67335554890352
BORA,0.252509102045094,1.39964391627628,4.60864308628176,6.38515083800686e-06,1.40944088482125e-05,2.67034242921227
AC026358.1,0.128998298506826,0.422133106141087,4.60854712326926,6.38787255719192e-06,1.40992434225389e-05,2.66993352391926
AC055876.2,-0.208400195023783,0.375527296805895,-4.6081376002241,6.39950007292933e-06,1.41237323350132e-05,2.66818859785612
PCDHB18P,0.133318790730253,0.369375483142669,4.6072259876424,6.4254565077169e-06,1.41798385460648e-05,2.66430480323196
